Trade Date;Close
20/7/2020;8.9
21/7/2020;8.73
22/7/2020;8.79
23/7/2020;8.74
24/7/2020;8.71
27/7/2020;8.65
28/7/2020;8.72
29/7/2020;8.71
30/7/2020;8.63
31/7/2020;8.63
3/8/2020;8.65
4/8/2020;8.75
5/8/2020;8.87
6/8/2020;8.89
7/8/2020;8.84
10/8/2020;8.7
11/8/2020;8.77
12/8/2020;8.82
13/8/2020;8.84
14/8/2020;8.8
17/8/2020;8.81
18/8/2020;8.85
19/8/2020;8.84
20/8/2020;8.8
21/8/2020;8.78
24/8/2020;8.78
25/8/2020;8.74
26/8/2020;8.79
27/8/2020;8.77
28/8/2020;8.78
31/8/2020;8.82
1/9/2020;8.87
2/9/2020;8.88
3/9/2020;8.9
4/9/2020;8.88
7/9/2020;8.92
8/9/2020;8.85
9/9/2020;8.86
10/9/2020;8.95
11/9/2020;8.94
14/9/2020;9.16
15/9/2020;9.19
16/9/2020;9.19
17/9/2020;9.2
18/9/2020;9.14
21/9/2020;8.93
22/9/2020;8.89
23/9/2020;8.88
24/9/2020;8.83
25/9/2020;8.86
28/9/2020;8.92
29/9/2020;8.95
30/9/2020;8.99
1/10/2020;9.07
2/10/2020;9.03
5/10/2020;9.12
6/10/2020;9.19
7/10/2020;9.2
8/10/2020;9.27
9/10/2020;9.33
12/10/2020;9.21
13/10/2020;9.19
14/10/2020;9.17
15/10/2020;9.06
16/10/2020;9.08
19/10/2020;9.07
20/10/2020;9.09
21/10/2020;9.08
22/10/2020;9
23/10/2020;8.99
26/10/2020;8.88
27/10/2020;8.92
29/10/2020;8.66
30/10/2020;8.69
2/11/2020;8.75
3/11/2020;8.87
4/11/2020;8.87
5/11/2020;8.9
6/11/2020;8.92
9/11/2020;9.42
10/11/2020;9.34
11/11/2020;9.38
12/11/2020;9.37
13/11/2020;9.35
16/11/2020;9.61
17/11/2020;9.65
19/11/2020;9.67
20/11/2020;9.64
23/11/2020;9.6
24/11/2020;9.69
25/11/2020;9.79
26/11/2020;9.96
27/11/2020;10.03
30/11/2020;10.08
1/12/2020;10.15
2/12/2020;10.11
3/12/2020;10.2
4/12/2020;10.3
7/12/2020;10.29
8/12/2020;10.28
9/12/2020;10.29
10/12/2020;10.17
11/12/2020;10.2
14/12/2020;10.27
15/12/2020;10.27
16/12/2020;10.32
17/12/2020;10.31
18/12/2020;10.46
21/12/2020;10.15
22/12/2020;10.28
23/12/2020;10.29
24/12/2020;10.29
28/12/2020;10.52
29/12/2020;10.53
30/12/2020;10.52
31/12/2020;10.57
1/1/2021;10.57
5/1/2021;10.66
7/1/2021;10.74
8/1/2021;10.71
11/1/2021;10.57
12/1/2021;10.5
13/1/2021;10.54
14/1/2021;10.46
15/1/2021;10.42
18/1/2021;10.4
19/1/2021;10.48
20/1/2021;10.52
21/1/2021;10.51
22/1/2021;10.35
25/1/2021;10.23
26/1/2021;10.31
27/1/2021;10.1
28/1/2021;10.2
29/1/2021;10.22
1/2/2021;10.22
2/2/2021;10.37
3/2/2021;10.41
4/2/2021;10.33
5/2/2021;10.37
8/2/2021;10.52
9/2/2021;10.31
10/2/2021;10.44
11/2/2021;10.55
12/2/2021;10.56
15/2/2021;10.75
16/2/2021;10.79
17/2/2021;10.73
18/2/2021;10.7
19/2/2021;10.69
22/2/2021;10.67
23/2/2021;10.53
24/2/2021;10.55
25/2/2021;10.67
26/2/2021;10.69
1/3/2021;10.76
2/3/2021;10.9
3/3/2021;10.87
4/3/2021;10.89
5/3/2021;10.96
8/3/2021;10.99
9/3/2021;11.09
10/3/2021;11.15
11/3/2021;11.24
12/3/2021;11.27
16/3/2021;11.35
17/3/2021;11.31
